"respid","issue1","issue2","issue3","issue4","issue5","association1","association2","association3","association4","association5","association6","association7","association8","association9","association10"
411,12,8,11,7,16,2,6,7,1,0,1,8,10,2,0
53,4,14,16,15,15,5,0,6,2,1,5,8,6,8,1
489,7,12,1,5,4,7,4,7,6,4,9,1,6,0,10
207,1,9,12,3,16,2,2,1,9,3,1,1,2,1,1
178,12,14,2,7,15,9,9,6,0,8,6,0,3,5,0
422,12,8,5,1,6,7,3,9,6,3,5,8,5,7,5
227,5,9,1,9,14,7,6,6,10,2,1,9,5,0,0
289,10,2,14,4,11,8,8,3,10,4,8,7,8,3,1
245,16,10,11,14,12,5,6,5,0,10,10,6,6,9,6
450,13,13,2,16,6,0,4,9,10,8,1,4,6,3,2
147,6,2,2,10,10,8,4,9,8,1,8,4,0,7,1
354,6,1,16,2,4,0,2,3,1,1,0,5,3,1,3
447,11,8,1,13,6,9,6,4,1,1,1,5,7,1,2
100,14,10,14,7,1,1,4,0,10,8,5,0,7,2,1
106,14,15,5,2,15,5,3,3,0,4,6,5,1,6,8
224,7,5,15,1,6,0,2,8,0,3,1,10,2,0,5
395,16,4,13,9,14,3,3,2,0,7,7,3,10,5,6
177,7,9,9,6,12,1,2,4,0,1,7,7,7,3,5
288,8,2,15,13,1,5,3,10,0,1,6,3,7,9,0
4,7,6,3,6,8,3,4,7,8,7,0,2,7,1,7
157,4,6,9,10,12,6,6,2,3,6,2,9,4,2,8
484,9,7,1,9,16,9,10,9,5,4,2,3,3,7,4
183,5,10,8,16,6,1,2,1,9,7,10,10,3,7,3
137,13,3,3,14,5,1,3,8,1,8,2,7,6,10,6
179,6,9,6,5,4,5,3,8,9,9,4,1,7,5,5
205,8,11,4,10,7,9,2,5,8,6,4,3,10,5,8
80,12,16,6,16,9,8,7,7,3,5,5,2,7,10,6
102,6,5,5,13,7,8,1,1,0,5,4,4,3,4,7
412,13,14,14,5,9,3,2,2,8,3,2,6,3,7,1
421,6,13,8,14,9,1,7,7,10,1,2,1,7,6,3
253,10,11,4,12,5,9,5,5,2,9,8,0,5,1,10
369,13,10,4,14,2,4,2,7,2,7,2,2,9,1,5
246,1,10,12,1,16,2,2,1,7,9,0,4,7,1,3
142,2,4,7,1,15,3,0,4,7,8,5,9,1,1,2
406,7,5,2,5,4,6,1,1,3,7,10,2,6,7,5
375,12,6,8,4,9,1,0,7,4,2,8,8,9,9,4
63,15,16,16,10,9,10,3,3,5,10,8,6,2,0,10
19,13,2,13,9,12,2,3,6,10,7,0,9,6,9,7
163,9,8,16,16,12,7,2,4,0,8,7,8,3,1,5
13,4,3,7,2,2,1,5,7,1,5,9,6,9,5,6
175,6,13,6,9,9,8,9,6,3,6,1,10,0,8,1
79,4,7,9,16,1,9,0,9,8,0,0,5,9,3,3
242,10,16,8,15,1,0,4,5,9,8,4,6,0,0,10
3,3,7,4,11,2,9,0,7,6,8,1,0,4,3,6
234,4,3,7,9,4,7,6,9,7,2,5,6,5,1,0
457,10,9,8,5,12,6,8,7,0,9,9,2,7,7,0
