"respid","attribute1","attribute2","attribute3","attribute4","attribute5","association1","association2","association3","association4","association5","association6","association7","association8","association9","association10"
480,16,3,11,5,1,7,6,1,5,6,0,5,6,4,6
200,13,14,2,14,4,10,5,8,10,4,6,1,10,5,3
246,12,9,14,10,12,6,1,5,6,4,3,3,3,8,3
316,11,6,4,8,9,9,7,2,1,7,9,6,2,9,7
453,13,8,10,13,12,7,0,5,1,5,8,10,6,0,4
96,6,8,15,14,9,0,0,3,8,10,0,4,3,2,4
250,8,4,1,12,15,2,0,9,4,6,4,10,0,6,0
475,8,10,10,7,7,2,0,5,5,10,9,3,5,3,9
488,15,4,12,6,13,7,2,5,6,4,9,10,6,3,0
129,7,8,6,10,7,4,10,10,1,5,1,9,0,5,1
63,7,12,13,8,8,8,7,7,0,4,9,3,0,1,1
244,15,14,8,13,12,1,0,2,6,10,7,4,8,4,5
128,6,13,11,8,9,8,3,9,5,0,10,10,8,8,9
25,7,14,5,6,16,4,9,0,10,7,7,1,2,5,5
76,1,3,5,13,6,0,5,1,1,2,1,4,1,10,1
142,13,14,9,2,8,7,6,2,5,3,7,1,0,4,9
252,3,6,5,12,4,10,9,5,7,4,4,0,8,3,6
156,13,8,7,15,2,4,10,5,6,7,3,4,9,3,5
347,8,12,7,12,15,0,1,1,2,5,10,5,9,3,1
208,11,13,16,8,8,7,10,7,7,0,4,3,8,4,3
90,8,6,4,8,2,10,5,3,0,3,10,10,1,7,4
57,16,14,8,12,5,10,7,9,5,8,3,4,8,5,7
375,2,12,15,9,3,5,2,6,0,10,7,3,7,9,6
326,2,2,12,13,11,7,6,4,1,3,7,5,5,9,3
385,3,2,11,6,7,1,7,2,2,3,8,2,1,3,0
354,15,13,10,6,15,9,5,8,5,4,6,0,2,9,9
227,5,14,15,6,16,5,0,0,0,6,6,4,6,7,3
207,11,2,14,7,14,5,7,8,6,5,6,8,10,7,9
106,14,9,6,15,1,6,5,7,5,6,4,3,0,6,3
363,6,9,3,7,5,10,4,4,7,7,0,8,10,3,5
85,9,15,12,5,14,2,1,9,4,6,5,2,6,10,6
338,16,11,14,13,16,8,6,9,10,7,3,7,9,4,8
364,7,11,6,9,6,4,10,2,1,5,10,0,1,0,7
426,1,14,12,16,5,9,2,9,5,7,8,6,4,1,1
88,1,8,6,2,13,0,9,6,7,1,1,10,2,10,2
79,11,13,16,11,13,0,6,1,3,9,6,2,3,3,2
42,13,5,4,5,10,8,6,7,9,7,5,1,0,6,3
38,9,13,10,14,11,9,9,10,0,3,2,0,9,3,8
374,6,13,4,1,12,10,6,10,4,4,10,9,5,2,6
275,16,14,13,1,9,4,3,3,9,10,9,6,10,4,0
378,15,11,3,4,7,0,5,1,2,3,4,8,10,8,3
91,10,11,3,10,3,1,5,8,10,2,2,6,8,3,9
64,5,9,7,5,2,3,5,2,6,4,8,8,9,8,9
425,2,16,15,14,14,9,6,6,2,7,7,2,1,10,8
295,2,2,15,11,7,2,1,10,7,2,10,9,4,2,8
65,11,15,10,2,14,9,8,2,6,2,5,8,2,10,5
401,11,16,2,10,14,10,10,1,5,7,1,9,9,8,9
44,5,3,9,14,14,10,2,9,9,7,1,3,10,5,0
451,16,10,5,2,4,4,4,1,1,6,3,8,9,3,9
361,1,2,7,10,15,6,9,7,10,7,6,7,1,5,2
172,16,3,8,11,12,4,4,10,3,0,9,6,10,3,3
41,12,1,8,7,1,6,10,8,3,6,10,1,1,0,6
461,13,2,3,11,4,7,2,9,7,9,4,6,6,6,7
464,3,7,2,1,14,4,10,7,5,10,9,9,1,7,10
329,10,15,5,10,2,3,0,1,2,1,9,8,6,6,10
228,16,7,9,9,6,10,5,7,5,0,0,8,0,0,0
350,16,12,3,13,1,0,6,5,2,7,3,2,10,1,7
456,11,3,15,1,2,2,8,8,6,9,8,4,9,3,6
384,4,9,4,3,12,1,10,8,2,8,8,10,6,4,7
132,4,2,15,3,12,2,4,4,3,2,3,0,6,10,7
83,8,16,1,13,7,6,4,6,5,6,6,6,2,9,4
108,4,10,15,5,3,0,1,0,4,10,0,1,9,0,10
86,7,4,9,5,5,1,6,3,7,2,7,2,0,0,4
469,9,4,13,8,11,10,0,7,6,3,10,5,10,8,2
70,1,13,10,9,7,8,9,4,1,1,0,9,6,4,10
372,5,1,5,4,8,6,0,9,7,10,8,1,8,0,1
404,14,6,12,11,4,9,2,6,9,1,2,0,8,3,3
191,5,13,15,11,2,0,8,10,2,6,4,6,8,1,2
471,3,8,8,15,3,9,3,10,6,9,0,8,8,6,8
358,13,7,4,13,9,8,1,0,2,8,0,10,0,9,6
406,14,3,1,4,7,3,5,0,1,8,5,9,1,3,1
30,9,14,13,6,14,2,1,5,3,2,1,8,6,5,9
267,14,13,10,1,11,9,2,10,10,8,8,7,8,0,6
345,8,4,10,9,4,2,0,4,2,5,10,7,3,3,0
285,6,3,15,1,16,10,4,9,0,0,4,2,0,2,6
396,10,6,15,15,10,6,8,10,5,0,8,4,1,0,6
159,5,5,4,13,15,6,8,9,4,6,5,10,2,5,9
476,1,4,16,15,7,6,8,7,0,8,9,0,3,7,7
